Name,C-1,C-2,C-5,C-6,7D-2,7D-3,7D-6,7D-7,14D-3,14D-5,14D-6,14D-7,21D-3,21D-5,21D-6,21D-7
TRINITY_DN313011_c0_g1_i1,0,0,0,0,1,0,2,0,0,0,0,1,3,3,0,0
TRINITY_DN83831_c0_g1_i2,22,37,8,77,7,2,28,2,37,11,6,2,11,2,11,7
TRINITY_DN6313_c2_g1_i1,6,7,0,7,27,29,6,11,3,0,6,33,8,7,4,15
TRINITY_DN28167_c0_g1_i1,7,0,5,0,0,1,0,0,0,1,10,1,8,0,0,0
TRINITY_DN12845_c0_g4_i1,12,1,4,9,18,17,3,4,4,1,1,19,3,7,2,15
TRINITY_DN38578_c1_g1_i1,84,108,102,64,291,9,22,21,104,24,50,29,70,37,430,31
TRINITY_DN6313_c2_g1_i2,3,0,1,0,0,0,3,0,0,3,1,0,0,0,0,0
TRINITY_DN383561_c0_g1_i1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1
TRINITY_DN4693_c0_g2_i2,233,274,212,327,110,106,137,105,252,611,326,271,354,545,373,571
TRINITY_DN4591_c2_g1_i5,33,0,0,0,0,28,0,23,0,0,0,25,26,0,12,11
TRINITY_DN4591_c2_g1_i6,54,29,0,0,52,16,17,20,35,0,0,15,0,18,0,0
TRINITY_DN291100_c0_g1_i1,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0
TRINITY_DN10970_c1_g1_i1,69,36,6,20,44,10,47,16,33,0,12,0,45,0,0,112
TRINITY_DN10970_c1_g1_i2,70,49,28,16,47,43,0,52,3,44,1,228,0,4,63,89
TRINITY_DN34_c0_g3_i1,206,116,113,160,441,375,211,242,157,48,125,468,117,165,118,453
TRINITY_DN34_c0_g3_i2,247,88,113,175,341,324,161,183,160,53,95,364,75,120,73,305
TRINITY_DN7827_c0_g2_i20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN34_c0_g3_i3,126,78,67,168,300,179,76,132,81,59,68,271,56,133,48,245
TRINITY_DN10970_c1_g1_i7,40,46,22,11,0,0,0,23,23,178,50,121,86,50,45,3
TRINITY_DN7827_c0_g2_i23,3,0,6,12,7,0,0,0,5,16,23,11,4,26,25,19
TRINITY_DN319867_c0_g1_i1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN4591_c2_g1_i2,365,178,216,288,592,579,313,305,128,123,200,624,185,262,155,762
TRINITY_DN4591_c2_g1_i3,4,0,0,0,7,0,0,0,5,0,3,0,0,0,0,3
TRINITY_DN7827_c0_g2_i25,18,7,14,18,5,14,0,13,23,32,14,15,43,26,9,0
TRINITY_DN265221_c0_g1_i1,2,0,0,3,4,0,0,1,1,0,0,0,2,2,1,4
TRINITY_DN148542_c1_g1_i1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1
TRINITY_DN401912_c0_g1_i1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN74864_c0_g1_i1,12,3,5,1,0,0,0,2,0,3,1,0,0,0,0,3
TRINITY_DN253090_c0_g1_i1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
TRINITY_DN105368_c0_g1_i2,7,9,8,13,19,28,9,6,9,4,8,12,2,7,3,18
TRINITY_DN43573_c1_g1_i1,0,0,0,2,5,0,0,0,1,0,1,1,0,0,0,0
TRINITY_DN4693_c0_g2_i1,20,0,18,0,10,0,0,0,9,0,0,0,0,0,32,0
TRINITY_DN216391_c0_g1_i1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
TRINITY_DN175824_c0_g1_i1,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
TRINITY_DN178485_c0_g1_i1,3,0,0,0,0,0,0,0,2,0,9,3,1,0,1,0
TRINITY_DN123628_c0_g1_i1,7,1,5,9,15,7,0,3,3,2,1,10,6,1,1,27
TRINITY_DN224025_c0_g1_i1,0,1,1,0,6,0,0,0,3,0,0,2,2,1,0,0
TRINITY_DN439929_c0_g1_i1,3,7,5,0,0,4,1,0,2,0,0,0,0,10,2,0
TRINITY_DN423732_c0_g1_i1,4,5,1,0,6,1,0,1,0,1,0,0,0,0,2,1
TRINITY_DN83614_c0_g1_i2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
TRINITY_DN163259_c0_g1_i1,0,0,0,0,3,5,0,3,3,0,0,2,0,0,0,0
TRINITY_DN415139_c0_g1_i1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0
TRINITY_DN4839_c0_g1_i4,280,128,134,193,469,441,263,266,156,88,171,524,146,169,121,422
TRINITY_DN24027_c0_g2_i3,5,1,0,2,11,1,5,5,5,1,1,3,1,3,0,12
TRINITY_DN258410_c0_g1_i1,2,3,2,0,4,7,1,1,0,0,0,2,4,0,2,4
TRINITY_DN4839_c0_g1_i5,54,32,17,29,89,67,30,34,20,4,30,61,22,18,15,67
TRINITY_DN366938_c0_g1_i1,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,5
TRINITY_DN20106_c0_g1_i12,1,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0
TRINITY_DN20106_c0_g1_i14,2,0,0,0,0,0,3,0,0,0,0,5,2,0,2,0
TRINITY_DN20106_c0_g1_i15,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,2
TRINITY_DN15592_c0_g2_i15,54,72,79,35,22,8,0,0,0,12,33,15,23,0,0,0
TRINITY_DN187235_c0_g1_i1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
TRINITY_DN82849_c3_g1_i1,5,0,1,1,7,4,3,5,6,2,3,9,0,4,0,10
TRINITY_DN13375_c0_g1_i1,58,46,38,146,65,26,6,23,31,70,5,446,133,21,40,7
TRINITY_DN13375_c0_g1_i3,0,0,9,19,0,0,20,6,8,18,2,0,0,0,21,0
TRINITY_DN5141_c0_g1_i1,228,107,114,166,394,346,205,217,137,59,122,374,92,134,73,443
TRINITY_DN5141_c0_g1_i2,60,56,28,78,241,105,106,170,149,51,78,305,48,145,56,259
TRINITY_DN5141_c0_g1_i3,473,247,251,344,709,588,300,276,185,102,239,579,197,249,177,688
TRINITY_DN56510_c0_g1_i1,2,1,0,6,3,6,0,1,0,0,3,3,2,0,2,3
TRINITY_DN46101_c0_g1_i1,4,0,1,1,4,3,0,1,2,1,0,3,3,0,0,0
TRINITY_DN165501_c0_g2_i1,1,3,1,1,21,0,0,0,0,0,0,2,0,0,2,0
TRINITY_DN15592_c0_g2_i13,0,105,0,11,0,0,0,3,2,50,0,0,0,64,23,31
TRINITY_DN8157_c0_g1_i10,25,115,51,57,72,108,94,172,48,12,0,108,43,47,24,136
TRINITY_DN2672_c0_g4_i1,216,130,142,233,477,406,195,169,141,53,118,561,198,173,131,498
TRINITY_DN27756_c0_g1_i1,5,0,1,1,2,0,3,0,2,7,3,7,0,4,1,5
TRINITY_DN3581_c0_g1_i10,8,2,0,9,6,5,0,3,3,1,3,3,7,0,0,0
TRINITY_DN3581_c0_g1_i12,0,0,0,0,9,0,6,0,12,8,2,0,25,4,0,8
TRINITY_DN3581_c0_g1_i13,5,7,6,4,19,1,6,3,10,8,7,6,23,8,14,5
TRINITY_DN3581_c0_g1_i14,180,154,109,74,99,12,69,40,75,101,49,90,106,76,87,2
TRINITY_DN22125_c0_g1_i9,0,0,0,0,12,19,10,10,18,0,0,0,0,2,0,0
TRINITY_DN388758_c0_g1_i1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0
TRINITY_DN877_c0_g2_i1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TRINITY_DN27637_c0_g4_i1,10,8,5,0,7,10,4,0,8,4,4,10,22,10,21,5
TRINITY_DN82266_c0_g1_i1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN49576_c0_g1_i1,5,2,1,4,7,4,1,5,4,1,0,2,2,0,0,5
TRINITY_DN18371_c1_g2_i1,13,0,10,4,0,0,22,0,2,4,0,31,0,9,0,19
TRINITY_DN47760_c0_g1_i1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
TRINITY_DN18371_c1_g2_i2,0,0,0,0,24,13,0,0,0,3,6,0,2,3,4,18
TRINITY_DN18371_c1_g2_i3,0,5,0,0,8,0,0,11,0,0,0,0,0,0,0,0
TRINITY_DN37351_c0_g1_i1,5,3,3,4,12,11,0,5,5,2,5,18,0,8,2,1
TRINITY_DN39167_c0_g1_i2,3,4,0,0,7,0,0,3,1,8,7,5,0,3,0,0
TRINITY_DN18371_c1_g2_i5,7,3,4,2,10,13,2,3,4,1,1,5,1,3,4,3
TRINITY_DN39167_c0_g1_i3,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1
TRINITY_DN22125_c0_g1_i4,18,0,11,22,18,0,0,0,0,6,13,40,4,0,5,32
TRINITY_DN319053_c0_g1_i1,0,0,0,0,2,0,0,0,6,0,0,0,2,1,0,0
TRINITY_DN8157_c0_g1_i13,56,14,29,50,75,33,27,0,15,31,27,54,6,6,27,63
TRINITY_DN7827_c0_g2_i18,0,0,0,0,0,4,0,0,0,2,0,0,11,0,0,0
TRINITY_DN7933_c1_g1_i1,6,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0
TRINITY_DN7827_c0_g2_i19,10,15,0,9,10,6,0,6,10,9,8,25,6,2,5,15
TRINITY_DN11354_c0_g3_i2,0,10,8,0,44,20,0,6,7,3,0,40,0,6,6,0
TRINITY_DN279696_c0_g1_i1,5,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
TRINITY_DN92675_c0_g1_i1,1,1,0,1,10,2,1,1,1,1,0,2,0,2,0,9
TRINITY_DN11354_c0_g3_i7,16,0,2,11,1,0,9,12,0,3,7,0,10,2,0,21
TRINITY_DN224839_c0_g1_i1,3,0,0,3,7,5,5,4,2,0,2,3,1,6,0,7
TRINITY_DN272755_c0_g1_i1,1,2,1,1,2,0,0,0,0,0,1,0,0,0,0,1
TRINITY_DN10714_c0_g1_i4,254,156,153,290,446,440,258,237,139,94,136,537,175,200,121,552
TRINITY_DN18734_c1_g1_i1,8,3,1,0,11,12,5,0,3,0,1,9,0,2,2,6
TRINITY_DN224242_c0_g1_i1,1,0,1,0,4,0,1,0,0,0,0,2,2,0,0,1
TRINITY_DN241968_c0_g1_i1,2,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0
TRINITY_DN8305_c0_g1_i5,0,5,0,18,0,6,14,0,33,72,60,67,99,87,57,198
TRINITY_DN10714_c0_g1_i5,89,31,23,60,118,79,39,50,37,15,31,97,12,27,22,57
TRINITY_DN204980_c0_g1_i1,11,12,10,2,11,0,4,1,7,2,18,2,18,0,6,0
TRINITY_DN29222_c0_g1_i16,86,22,14,0,0,0,0,24,39,59,105,84,47,101,139,72
TRINITY_DN8305_c0_g1_i6,1,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0
TRINITY_DN8305_c0_g1_i9,1,12,0,0,19,1,10,5,2,8,12,21,7,4,6,2
TRINITY_DN64455_c0_g1_i1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
TRINITY_DN1001_c0_g2_i1,17,6,47,4,9,35,15,11,13,16,97,41,32,58,39,101
TRINITY_DN1001_c0_g2_i2,46,0,51,0,12,41,47,18,58,79,98,135,191,84,123,307
TRINITY_DN43356_c1_g1_i1,1,2,0,0,10,0,0,0,6,0,1,7,4,4,0,2
TRINITY_DN1001_c0_g2_i3,6,0,11,0,7,23,6,0,49,15,88,64,15,69,109,76
TRINITY_DN1001_c0_g2_i4,362,153,1147,185,1529,1857,2734,1034,3067,3312,3466,8041,3818,5347,5337,5053
TRINITY_DN1001_c0_g2_i5,51,1,65,9,93,101,51,38,39,76,45,118,85,51,35,130
TRINITY_DN1001_c0_g2_i6,0,0,4,0,0,7,4,4,13,7,23,25,36,29,13,80
TRINITY_DN14109_c0_g2_i11,24,13,1,12,33,52,0,15,0,12,24,0,0,2,0,23
TRINITY_DN14109_c0_g2_i12,91,81,47,71,160,152,54,118,58,17,59,173,50,69,24,179
TRINITY_DN135039_c0_g1_i1,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0
TRINITY_DN13461_c0_g2_i1,108,75,74,117,205,183,107,77,82,20,64,299,74,80,78,218
TRINITY_DN168847_c1_g3_i1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN10714_c0_g1_i2,38,20,17,9,43,9,0,8,42,0,7,18,0,8,0,29
TRINITY_DN357157_c0_g1_i1,5,0,1,0,6,0,0,0,2,0,0,5,1,0,0,0
TRINITY_DN10714_c0_g1_i3,1,4,0,1,0,2,4,0,3,0,2,0,0,0,0,1
TRINITY_DN337895_c0_g1_i1,3,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
TRINITY_DN102887_c0_g2_i1,1,1,0,0,1,1,0,0,0,0,0,2,1,1,5,7
TRINITY_DN146781_c0_g1_i2,1,0,0,0,0,0,0,0,3,2,0,0,0,3,3,7
TRINITY_DN387570_c0_g1_i1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0
TRINITY_DN13592_c0_g1_i6,1,2,0,2,2,0,1,0,3,0,0,4,2,0,0,1
TRINITY_DN23882_c0_g4_i1,2,13,5,11,8,3,13,1,3,14,22,0,20,9,26,1
TRINITY_DN12917_c1_g1_i10,11,2,3,9,9,6,6,4,9,2,5,16,3,6,3,8
TRINITY_DN12917_c1_g1_i11,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN12917_c1_g1_i12,3,4,3,2,4,10,2,6,2,3,1,10,1,4,1,8
TRINITY_DN353185_c0_g1_i1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN23810_c6_g1_i1,3,0,0,1,3,8,1,0,0,0,1,10,0,0,0,3
TRINITY_DN27723_c0_g5_i1,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2
TRINITY_DN405472_c0_g1_i1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN146781_c0_g1_i1,8,0,4,1,0,0,1,0,0,0,2,0,1,1,0,11
TRINITY_DN34567_c0_g1_i1,8,5,6,10,11,12,5,12,5,2,5,15,3,5,0,13
TRINITY_DN34567_c0_g1_i2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
TRINITY_DN237095_c0_g1_i1,11,1,0,1,4,0,4,4,2,3,1,6,0,0,0,2
TRINITY_DN69738_c0_g2_i1,9,1,0,1,11,16,2,7,5,1,1,7,1,0,2,3
TRINITY_DN36469_c0_g2_i2,1,1,0,0,2,0,4,0,3,1,0,0,2,0,0,1
TRINITY_DN36469_c0_g2_i3,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0
TRINITY_DN304261_c0_g1_i1,1,2,0,2,2,4,2,2,0,0,2,2,1,2,3,0
TRINITY_DN359621_c0_g1_i1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
TRINITY_DN36469_c0_g2_i4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2
TRINITY_DN67836_c0_g1_i1,72,36,21,62,87,76,23,41,43,7,28,93,25,36,23,89
TRINITY_DN233806_c0_g1_i1,4,0,0,1,5,0,0,2,2,0,0,1,0,0,0,0
TRINITY_DN383_c0_g4_i2,13,11,10,8,30,32,26,24,13,3,9,35,10,6,7,20
TRINITY_DN27539_c0_g1_i1,2,0,0,2,3,0,1,0,1,0,0,1,5,2,0,0
TRINITY_DN2126_c3_g1_i1,41,27,23,29,7,17,8,9,21,8,10,18,16,21,0,17
TRINITY_DN221458_c0_g1_i1,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0
TRINITY_DN2126_c3_g1_i4,3,3,13,0,0,15,3,28,2,1,2,2,5,6,1,173
TRINITY_DN7310_c0_g1_i10,0,0,2,5,51,1,1,11,23,3,10,0,5,0,0,0
TRINITY_DN2126_c3_g1_i5,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN2126_c3_g1_i6,305,141,181,129,108,51,162,151,67,67,36,82,46,50,7,1168
TRINITY_DN14952_c0_g3_i1,116,107,86,107,72,42,52,40,96,228,74,180,112,195,141,146
TRINITY_DN2126_c3_g1_i8,104,96,194,50,92,81,77,86,84,38,33,67,117,39,5,421
TRINITY_DN4927_c1_g2_i2,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0
TRINITY_DN4927_c1_g2_i3,3,0,0,0,7,0,0,0,6,0,1,0,1,0,0,0
TRINITY_DN45163_c0_g1_i10,0,0,0,5,23,29,23,9,7,8,0,0,0,5,5,3
TRINITY_DN4927_c1_g2_i4,17,2,1,10,12,14,10,8,10,4,4,15,0,2,1,12
TRINITY_DN276098_c0_g1_i1,4,0,0,1,0,0,0,0,1,4,3,4,1,0,2,6
TRINITY_DN274282_c0_g1_i1,4,1,1,0,7,4,0,0,5,0,1,7,2,1,2,7
TRINITY_DN45163_c0_g1_i17,0,0,0,1,21,0,0,0,7,0,0,13,0,0,8,33
TRINITY_DN1715_c3_g1_i1,2,1,3,1,0,3,0,2,2,0,1,1,4,0,0,2
TRINITY_DN45163_c0_g1_i18,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN275105_c0_g1_i1,4,1,0,13,13,8,4,4,2,0,2,16,5,1,0,10
TRINITY_DN379100_c0_g1_i1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
TRINITY_DN2574_c0_g1_i6,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
TRINITY_DN43534_c0_g1_i1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
TRINITY_DN2574_c0_g1_i7,147,112,110,98,85,29,66,65,98,100,0,72,40,86,143,79
TRINITY_DN2574_c0_g1_i8,86,76,71,39,34,11,59,46,21,44,34,39,44,32,0,30
TRINITY_DN345746_c0_g1_i1,2,1,0,2,0,0,0,1,2,0,0,0,0,0,0,7
TRINITY_DN115180_c0_g1_i1,0,2,1,0,6,1,0,1,0,1,1,2,0,0,0,2
TRINITY_DN45163_c0_g1_i20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
TRINITY_DN48220_c0_g2_i2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
TRINITY_DN2574_c0_g1_i2,0,0,5,12,22,0,6,0,6,8,44,0,68,0,0,0
TRINITY_DN2574_c0_g1_i3,27,2,0,2,8,1,8,0,8,0,0,4,0,17,5,4
TRINITY_DN48220_c0_g2_i4,0,0,0,0,2,0,0,2,0,1,1,0,1,0,0,0
TRINITY_DN393970_c0_g1_i1,0,1,2,4,1,1,5,0,12,4,6,1,0,1,3,0
TRINITY_DN45163_c0_g1_i23,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
TRINITY_DN413540_c0_g1_i1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN325236_c0_g1_i1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TRINITY_DN48987_c1_g1_i1,2,1,0,1,2,5,3,4,1,15,12,12,13,0,22,0
TRINITY_DN31635_c0_g1_i1,8,5,6,5,18,11,9,8,6,3,2,23,6,3,4,21
TRINITY_DN114298_c0_g2_i1,2,0,0,0,1,2,1,0,0,0,0,1,1,0,2,0
TRINITY_DN1458_c0_g1_i1,291,101,112,176,409,382,215,195,145,54,139,385,104,165,128,461
TRINITY_DN267254_c0_g1_i1,9,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN117392_c1_g2_i1,2,0,5,0,0,0,0,1,0,2,9,4,2,1,0,1
TRINITY_DN117392_c1_g2_i2,2,2,1,4,0,0,0,0,1,1,1,0,3,4,3,5
TRINITY_DN300578_c0_g1_i1,3,0,0,1,2,1,0,0,2,0,0,1,2,2,0,4
TRINITY_DN403945_c0_g1_i1,2,1,0,1,1,0,2,5,0,0,0,5,1,0,0,1
TRINITY_DN29283_c0_g1_i1,5,0,0,0,2,2,0,1,2,0,0,1,3,0,1,1
TRINITY_DN68786_c1_g3_i1,1,1,0,0,1,4,0,1,2,0,0,0,1,2,2,2
TRINITY_DN64672_c0_g1_i4,8,0,6,10,33,15,10,4,0,0,0,10,0,0,4,16
TRINITY_DN64672_c0_g1_i5,8,10,4,4,12,14,5,9,6,5,2,6,3,6,11,15
TRINITY_DN334963_c0_g1_i1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN64672_c0_g1_i7,14,0,0,0,0,9,0,6,12,0,0,6,2,6,0,0
TRINITY_DN64672_c0_g1_i8,0,1,0,5,3,0,2,2,0,4,0,0,0,0,0,12
TRINITY_DN76803_c0_g1_i1,0,1,0,0,5,3,0,0,2,0,2,0,0,2,0,2
TRINITY_DN76803_c0_g1_i3,2,0,0,4,1,0,1,1,0,0,0,0,5,2,1,4
TRINITY_DN3436_c1_g1_i3,9471,5342,4324,2556,5336,1654,5591,2075,3856,2605,1444,6530,5856,4701,4741,7622
TRINITY_DN36567_c0_g5_i2,3,0,6,0,0,1,0,0,1,0,3,0,5,0,0,0
TRINITY_DN30287_c0_g1_i1,4,7,9,6,20,31,12,1,2,6,10,19,6,6,7,24
TRINITY_DN5967_c0_g3_i1,11,10,10,5,0,2,4,3,7,5,4,19,0,14,0,0
TRINITY_DN144006_c0_g1_i1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN5967_c0_g3_i3,0,16,1,0,17,9,0,1,0,5,12,6,20,2,14,13
TRINITY_DN18912_c0_g1_i2,12,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
TRINITY_DN110580_c0_g1_i1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3
TRINITY_DN18912_c0_g1_i3,81,23,24,29,13,0,18,15,10,7,8,32,20,44,30,10
TRINITY_DN198272_c0_g1_i1,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
TRINITY_DN328020_c0_g1_i1,5,5,0,1,4,0,2,0,1,14,18,17,12,19,1,2
TRINITY_DN218873_c0_g1_i2,2,3,1,3,2,13,1,1,7,24,55,53,38,206,84,127
TRINITY_DN148597_c0_g1_i1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN157076_c0_g1_i1,3,4,3,4,8,8,5,13,3,3,3,14,4,2,1,6
